Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],CV-0.5m,IV-0.5m
273,73162.579,-105.07618886,39.01808480,-1.406,-0.725
274,73162.766,-105.07618774,39.01808689,-4.180,-0.755
275,73162.954,-105.07618661,39.01808899,-6.719,-0.792
276,73163.150,-105.07618518,39.01809095,-9.102,-0.790
277,73163.329,-105.07618381,39.01809268,-10.000,-0.817
278,73163.493,-105.07618255,39.01809426,-12.539,-0.801
279,73163.672,-105.07618118,39.01809600,-12.695,-0.787
280,73163.866,-105.07617969,39.01809787,-11.992,-0.804
281,73164.051,-105.07617794,39.01809962,-14.727,-0.818
282,73164.255,-105.07617506,39.01810142,-13.516,-0.867
283,73164.475,-105.07617194,39.01810336,-14.219,-0.884
284,73164.678,-105.07616906,39.01810515,-13.789,-0.879
285,73164.864,-105.07616642,39.01810680,-13.945,-0.903
286,73165.073,-105.07616385,39.01810881,-14.297,-0.893
287,73165.250,-105.07616229,39.01811075,-14.883,-0.914
288,73165.426,-105.07616074,39.01811269,-14.688,-0.915
289,73165.603,-105.07615917,39.01811463,-15.664,-0.894
290,73165.794,-105.07615749,39.01811673,-15.312,-0.887
291,73165.970,-105.07615593,39.01811867,-14.648,-0.914
292,73166.159,-105.07615429,39.01812040,-14.414,-0.890
293,73166.349,-105.07615265,39.01812208,-13.359,-0.889
294,73166.540,-105.07615099,39.01812377,-14.336,-0.858
295,73166.730,-105.07614934,39.01812545,-15.234,-0.818
296,73166.921,-105.07614769,39.01812713,-14.961,-0.840
297,73167.114,-105.07614591,39.01812873,-14.844,-0.863
298,73167.286,-105.07614428,39.01813007,-15.195,-0.870
299,73167.457,-105.07614266,39.01813141,-14.492,-0.873
300,73167.614,-105.07614116,39.01813265,-15.430,-0.848
301,73167.800,-105.07613940,39.01813410,-14.922,-0.835
302,73167.972,-105.07613777,39.01813544,-14.688,-0.848
303,73168.200,-105.07613580,39.01813747,-14.727,-0.840
304,73168.418,-105.07613395,39.01813943,-13.867,-0.874
305,73168.637,-105.07613209,39.01814140,-14.648,-0.870
306,73168.854,-105.07613024,39.01814336,-14.766,-0.839
307,73169.059,-105.07612859,39.01814523,-15.000,-0.861
308,73169.235,-105.07612735,39.01814690,-12.422,-0.833
309,73169.412,-105.07612612,39.01814858,-14.023,-0.822
310,73169.603,-105.07612478,39.01815040,-14.492,-0.830
311,73169.779,-105.07612355,39.01815207,-15.273,-0.783
312,73169.956,-105.07612231,39.01815375,-14.453,-0.765
313,73170.147,-105.07612087,39.01815556,-13.867,-0.795
314,73170.360,-105.07611924,39.01815759,-12.461,-0.778
315,73170.540,-105.07611786,39.01815930,-13.281,-0.837
316,73170.738,-105.07611634,39.01816117,-13.789,-0.856
317,73170.934,-105.07611484,39.01816304,-14.688,-0.823
318,73171.136,-105.07611370,39.01816441,-14.102,-0.825
319,73171.318,-105.07611285,39.01816542,-13.789,-0.798
320,73171.500,-105.07611200,39.01816641,-13.867,-0.796
321,73171.697,-105.07611108,39.01816750,-14.062,-0.861
322,73171.863,-105.07611030,39.01816841,-14.883,-0.891
323,73172.047,-105.07610927,39.01816948,-15.352,-0.870
324,73172.250,-105.07610754,39.01817083,-14.375,-0.860
325,73172.438,-105.07610594,39.01817209,-14.023,-0.845
326,73172.625,-105.07610435,39.01817333,-14.336,-0.816
327,73172.828,-105.07610263,39.01817469,-13.867,-0.809
328,73173.017,-105.07610103,39.01817597,-14.805,-0.787
329,73173.194,-105.07609952,39.01817742,-15.508,-0.730
330,73173.404,-105.07609774,39.01817913,-14.375,-0.741
331,73173.596,-105.07609610,39.01818070,-14.688,-0.735
332,73173.791,-105.07609445,39.01818229,-14.766,-0.738
333,73173.983,-105.07609281,39.01818387,-13.086,-0.788
334,73174.172,-105.07609161,39.01818506,-13.828,-0.813
335,73174.375,-105.07609035,39.01818631,-13.555,-0.810
336,73174.562,-105.07608920,39.01818747,-13.320,-0.838
337,73174.750,-105.07608804,39.01818862,-12.539,-0.801
338,73174.937,-105.07608689,39.01818978,-13.438,-0.807
339,73175.127,-105.07608597,39.01819099,-12.812,-0.856
340,73175.317,-105.07608518,39.01819223,-13.633,-0.865
341,73175.508,-105.07608438,39.01819347,-13.320,-0.824
342,73175.714,-105.07608352,39.01819481,-12.969,-0.823
