time,lon,lat,CV-1.0m,IV-1.0m,CV-0.5m,IV-0.5m,LineNumber,Smoothed_CV-1.0m,Smoothed_IV-1.0m,Smoothed_CV-0.5m,Smoothed_IV-0.5m,Smoothed_CV-1.0m_corrected,Smoothed_IV-1.0m_corrected,Smoothed_CV-0.5m_corrected,Smoothed_IV-0.5m_corrected
79900.957,-105.0758391,39.01787892,-10.55,0.576,-29.561,0.109,Line 75,-9.657,0.5592857142857143,-13.774000000000001,0.028285714285714296,4.245218543650773,-0.2242175833333343,-14.99036925396827,-0.512422027777778
79901.173,-105.07583997,39.01787777,-11.175,0.63,-34.483,0.2,Line 75,-8.914714285714286,0.5304285714285715,-13.171285714285716,0.024142857142857153,4.987504257936487,-0.2530747261904771,-14.387654968253983,-0.5165648849206352
79901.378,-105.07584072,39.01787671,-8.401,0.541,-12.295,0.104,Line 75,-8.858857142857143,0.5262857142857144,-14.332000000000003,0.03885714285714287,5.043361400793629,-0.2572175833333342,-15.54836925396827,-0.5018505992063496
79901.602,-105.07584154,39.01787556,-5.237,0.43,0.908,-0.072,Line 75,-8.780714285714286,0.537,-13.606571428571428,0.05114285714285715,5.121504257936487,-0.24650329761904854,-14.822940682539695,-0.4895648849206352
79901.809,-105.0758423,39.01787449,-7.151,0.452,-3.545,-0.052,Line 75,-8.457,0.5342857142857143,-9.153428571428572,0.037428571428571436,5.445218543650772,-0.24921758333333432,-10.369797825396839,-0.5032791706349209
79902.014,-105.07584307,39.0178734,-9.378,0.523,-7.959,0.014,Line 75,-8.144428571428572,0.5261428571428571,-5.961428571428572,0.01371428571428572,5.757789972222201,-0.25736044047619144,-7.177797825396837,-0.5269934563492067
79902.196,-105.07584395,39.017872,-9.573,0.607,-8.311,0.055,Line 75,-8.423571428571428,0.5377142857142857,-9.371,0.028142857142857147,5.478647115079345,-0.24578901190476288,-10.587369253968262,-0.5125648849206352
79902.378,-105.07584483,39.0178706,-8.284,0.557,1.611,0.013,Line 75,-9.411285714285714,0.569,-15.107571428571429,0.07728571428571429,4.490932829365058,-0.21450329761904863,-16.323940682539693,-0.4634220277777781
79902.56,-105.07584571,39.01786921,-8.987,0.573,-12.139,0.034,Line 75,-9.104428571428572,0.5634285714285714,-14.800714285714287,0.08071428571428572,4.7977899722222,-0.2200747261904772,-16.017083539682552,-0.45999345634920663
79902.742,-105.07584659,39.01786781,-10.355,0.622,-36.162,0.205,Line 75,-8.624571428571429,0.5447142857142857,-13.879999999999999,0.06614285714285716,5.277647115079344,-0.23878901190476287,-15.096369253968264,-0.4745648849206352
